id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_district,pickup_neighbourhood,dropoff_district,dropoff_neighbourhood,pickup_geonumber,dropoff_geonumber,day_period,month,year,season,weekday_or_weekend,regular_day_or_holiday,pickup_hour,day_name,financial_quarter,date
id0993616,2,2016-01-09 22:41:49,2016-01-09 22:46:54,3,-73.98989868164062,40.74702072143555,-73.97985076904298,40.75450134277344,N,305.0,Manhattan,Upper West Side,Brooklyn,Kensington,23460.47383117676,23461.830390930176,3. Evening,01. Jan,2016,1. Winter,Weekend,Regular day,22,6. Saturday,4,09-01-2016
id1258373,1,2016-01-05 16:38:23,2016-01-05 16:45:01,1,-73.95557403564453,40.77355575561523,-73.95919036865234,40.781837463378906,N,398.0,Brooklyn,South Slope,Manhattan,Harlem,23465.284461975098,23466.77155303955,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,2. Tuesday,4,05-01-2016
id0043978,1,2016-01-09 11:48:09,2016-01-09 12:11:23,2,-73.97422790527344,40.76261138916016,-73.98772430419923,40.71971893310547,N,1394.0,Manhattan,East Harlem,Brooklyn,Bedford-Stuyvesant,23463.295822143555,23455.561683654785,1. Morning,01. Jan,2016,1. Winter,Weekend,Regular day,11,6. Saturday,4,09-01-2016
id1992686,1,2016-01-07 09:10:47,2016-01-07 09:23:10,1,-73.97267913818358,40.74845886230469,-73.97459411621094,40.76321411132813,N,743.0,Brooklyn,South Slope,Brooklyn,Bedford-Stuyvesant,23460.74991607666,23463.40394592285,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,4. Thursday,4,07-01-2016
id2776496,2,2016-01-09 09:32:24,2016-01-09 09:42:13,2,-73.98185729980467,40.768531799316406,-73.9954605102539,40.75445556640625,N,589.0,Manhattan,Harlem,Brooklyn,Park Slope,23464.35386657715,23461.80654144287,1. Morning,01. Jan,2016,1. Winter,Weekend,Regular day,9,6. Saturday,4,09-01-2016
id3434655,2,2016-01-06 08:49:19,2016-01-06 09:12:34,5,-73.93245697021484,40.751968383789055,-73.95624542236328,40.76752471923828,N,1395.0,Manhattan,Harlem,Brooklyn,South Slope,23461.421852111816,23464.198204040527,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,8,3. Wednesday,4,06-01-2016
id1579767,2,2016-01-03 02:29:17,2016-01-03 02:31:09,6,-73.98865509033203,40.7640037536621,-73.99622344970702,40.75362777709961,N,112.0,Manhattan,Upper East Side,Manhattan,West Village,23463.532020568848,23461.656776428223,4. Night,01. Jan,2016,1. Winter,Weekend,Regular day,2,7. Sunday,4,03-01-2016
id3557165,1,2016-01-08 23:07:18,2016-01-08 23:13:14,1,-74.00814819335938,40.737403869628906,-74.00343322753906,40.72380065917969,N,356.0,Brooklyn,Bedford-Stuyvesant,Manhattan,Upper West Side,23458.724548339844,23456.280685424805,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,23,5. Friday,4,08-01-2016
id3975572,2,2016-01-05 09:38:45,2016-01-05 09:51:26,2,-73.96941375732422,40.69318771362305,-74.00978851318358,40.70207595825195,N,761.0,Manhattan,Hell's Kitchen,Brooklyn,Kensington,23450.804374694824,23452.363883972168,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,9,2. Tuesday,4,05-01-2016
id0624900,2,2016-01-07 16:46:38,2016-01-07 17:05:11,1,-73.98094940185547,40.75358963012695,-73.9756317138672,40.78678131103516,N,1113.0,Brooklyn,Bergen Beach,Queens,Bayswater,23461.665184021,23467.64500427246,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,4. Thursday,4,07-01-2016
id3389874,1,2016-01-06 20:06:31,2016-01-06 20:19:20,1,-73.97371673583984,40.79176712036133,-73.93995666503906,40.852294921875,N,769.0,Manhattan,West Village,Brooklyn,Bedford-Stuyvesant,23468.5443649292,23479.47312927246,3. Evening,01. Jan,2016,1. Winter,Weekday,Regular day,20,3. Wednesday,4,06-01-2016
id0502806,1,2016-01-06 10:12:13,2016-01-06 10:22:32,1,-73.99867248535155,40.73408508300781,-74.01420593261719,40.71385192871094,N,619.0,Brooklyn,Flatlands,Brooklyn,Sheepshead Bay,23458.13664245605,23454.47914123535,1. Morning,01. Jan,2016,1. Winter,Weekday,Regular day,10,3. Wednesday,4,06-01-2016
id3670483,2,2016-01-04 16:55:47,2016-01-04 17:28:08,1,-73.96878814697266,40.80149841308594,-73.95857238769531,40.77402877807617,N,1941.0,Manhattan,Chinatown,Manhattan,East Harlem,23470.300926208496,23465.366607666016,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,16,1. Monday,4,04-01-2016
id3044836,2,2016-01-08 14:04:57,2016-01-08 14:16:47,1,-73.95404815673827,40.77973937988281,-73.95399475097656,40.76614761352539,N,710.0,Manhattan,Upper West Side,Brooklyn,Bedford-Stuyvesant,23466.399040222168,23463.952575683597,2. Afternoon,01. Jan,2016,1. Winter,Weekday,Regular day,14,5. Friday,4,08-01-2016
